mark,tag,title,link,author/publisher,license,license_link,fontname,subscribe
cache,Script,峄山碑篆体,https://www.maoken.com/freefonts/21952.html,字传,作者声明,https://www.maoken.com/freefonts/21952.html,峄山碑篆体,download
cache,Serif,崇羲篆体,https://www.maoken.com/freefonts/16595.html,王心怡 x 季旭昇,CC-BY-ND,https://www.maoken.com/by-nd,崇羲篆体,download
cache,Script,平方赖江湖怀古体,https://www.maoken.com/freefonts/21775.html,平方造字,作者声明,https://www.maoken.com/freefonts/21775.html,平方造字,download
cache,Script,平方赖江湖琅琊体,https://www.maoken.com/freefonts/21830.html,平方造字,作者声明,https://www.maoken.com/freefonts/21830.html,平方赖江湖琅琊体,download
mark,Sans Serif,得意黑 Smiley Sans,https://github.com/atelier-anchor/smiley-sans,atelierAnchor,OFL-1.1,https://github.com/atelier-anchor/smiley-sans/blob/main/LICENSE,得意黑,release
cache,Pixel,文泉驿点阵宋体,https://www.maoken.com/freefonts/20947.html,文泉驿,GPL-v3,https://www.maoken.com/gpl,文泉驿点阵宋体,download
cache,Pixel,方舟像素字体 / Ark Pixel Font,https://github.com/TakWolf/ark-pixel-font,TakWolf,OFL-1.1,https://github.com/TakWolf/ark-pixel-font/blob/master/LICENSE-OFL,Ark Pixel,release
cache,Serif,汇文仿宋,https://www.maoken.com/freefonts/24495.html,特里王,作者声明,https://www.maoken.com/freefonts/24495.html,汇文仿宋,download
cache,Serif,汇迹正楷,https://www.maoken.com/freefonts/24749.html,綿雲飴里 × 特里王,OFL-1.1,https://www.maoken.com/ofl,汇迹正楷,download
cache,Calligraphic,源拔黑体,https://www.maoken.com/freefonts/14840.html,blueskis382,Apache-2.0,https://www.maoken.com/apl,源NukiゴシックP,download
cache,Sans Serif,荆南俊俊体,https://www.maoken.com/freefonts/17414.html,荆南字坊,作者声明,https://www.maoken.com/freefonts/17414.html,荆南俊俊体,download
cache,Sans Serif,荆南波波黑,https://www.maoken.com/freefonts/14257.html,荆南字坊,OFL-1.1,https://www.maoken.com/ofl,荆南波波黑,download
cache,Sans Serif,荆南缘默体,https://www.maoken.com/freefonts/9550.html,荆南字坊,OFL-1.1,https://www.maoken.com/ofl,荆南缘默体,download
cache,Pixel,观致8px,https://www.maoken.com/freefonts/11358.html,夏夏,作者声明,https://www.maoken.com/freefonts/11358.html,GuanZhi 8px,download
later,Serif,齊伋體,https://github.com/LingDong-/qiji-font,Lingdong Huang,OFL-1.1,https://github.com/LingDong-/qiji-font/blob/master/LICENSE,QIJIC,release
