package,title,topic,maintainer,url,readme,source,mark
enumitem,"enumitem – Control layout of itemize, enumerate, description",list,Javier Bezos López,https://www.ctan.org/pkg/enumitem,https://mirrors.ctan.org/macros/latex/contrib/enumitem/README.md,https://github.com/jbezos/enumitem,""
epigraph,epigraph – A package for typesetting epigraphs,epigram,"Will Robertson,Peter R. Wilson (inactive)",https://www.ctan.org/pkg/epigraph,https://mirrors.ctan.org/macros/latex/contrib/epigraph/README.md,https://github.com/wspr/herries-press/,""
epigraph-keys,epigraph-keys – Epigraphs using key values,epigram,Benjamin McKay,https://www.ctan.org/pkg/epigraph-keys,https://mirrors.ctan.org/macros/latex/contrib/epigraph-keys/README,https://www.ctan.org/tex-archive/macros/latex/contrib/epigraph-keys,""
epsdice,"epsdice – A scalable dice ""font""",graphics use,Thomas Heim,https://www.ctan.org/pkg/epsdice,https://mirrors.ctan.org/macros/latex/contrib/epsdice/README,https://www.ctan.org/tex-archive/macros/latex/contrib/epsdice,""
etoc,etoc – Completely customisable TOCs,"e-tex,toc etc",Jean-François Burnol,https://www.ctan.org/pkg/etoc,https://mirrors.ctan.org/macros/latex/contrib/etoc/README.md,https://github.com/jfbu/etoc,""
euclidean-lattice,euclidean-lattice – Draw two-dimensional Euclidean lattices with TikZ,"graphics,maths,pgf tikz",Jérôme Plût,https://www.ctan.org/pkg/euclidean-lattice,https://mirrors.ctan.org/graphics/pgf/contrib/euclidean-lattice/README.md,https://github.com/JeromePlut/lattice,""
euclideangeometry,euclideangeometry – Draw geometrical constructions,"graphics,maths",Claudio Beccari,https://www.ctan.org/pkg/euclideangeometry,https://mirrors.ctan.org/macros/latex/contrib/euclideangeometry/README.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/euclideangeometry,""
evenpage,evenpage – Ensure that the total number of pages is even,blank page,Francesco Bosisio,https://www.ctan.org/pkg/evenpage,https://mirrors.ctan.org/macros/latex/contrib/bosisio/README,https://www.ctan.org/tex-archive/macros/latex/contrib/bosisio,""
everypage,everypage – Provide hooks to be run on every page of a document,defer stuff,Sergio Callegari,https://www.ctan.org/pkg/everypage,https://mirrors.ctan.org/macros/latex/contrib/everypage/README.md,https://github.com/callegar/LaTeX-everypage,""
exam,exam – Package for typesetting exam scripts,"exam,class",Philip S. Hirschhorn,https://www.ctan.org/pkg/exam,https://mirrors.ctan.org/macros/latex/contrib/exam/README,https://www.ctan.org/tex-archive/macros/latex/contrib/exam,later
exam-zh,exam-zh – LaTeX template for Chinese exams,"exam,xetex,chinese","Lijun Guo,Kangwei Xia",https://www.ctan.org/pkg/exam-zh,https://mirrors.ctan.org/macros/xetex/latex/exam-zh/README.md,https://gitee.com/xkwxdyy/exam-zh,""
exercises,exercises – Typeset exercises and solutions with automatic addition of points,exercise,Roger Jud,https://www.ctan.org/pkg/exercises,https://mirrors.ctan.org/macros/latex/contrib/exercises/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/exercises,""
exesheet,exesheet – Typesetting exercise or exam sheets,"teaching,exam,class,exercise",Antoine Missier,https://www.ctan.org/pkg/exesheet,https://mirrors.ctan.org/macros/latex/contrib/exesheet/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/exesheet,""
exframe,exframe – Framework for exercise problems,"exam,exercise",Niklas Beisert,https://www.ctan.org/pkg/exframe,https://mirrors.ctan.org/macros/latex/contrib/exframe/README.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/exframe,""
expdlist,expdlist – Expanded description environments,list described,"Rainer Hülse,Wolfgang Kaspar",https://www.ctan.org/pkg/expdlist,https://mirrors.ctan.org/macros/latex/contrib/expdlist/readme.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/expdlist,""
expressg,"expressg – Diagrams consisting of boxes, lines, and annotations","diagrams,graphics in tex",Peter R. Wilson,https://www.ctan.org/pkg/expressg,https://mirrors.ctan.org/graphics/metapost/contrib/macros/expressg/README,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/expressg,""
extract,extract – Extract parts of a document and write to another document,editorial,Hendri Adriaens (inactive),https://www.ctan.org/pkg/extract,https://mirrors.ctan.org/macros/latex/contrib/extract/README,https://www.ctan.org/tex-archive/macros/latex/contrib/extract,""
ezedits,ezedits – Commands for tracking document changes and notes,"editorial,notes",Joseph A. Smiga,https://www.ctan.org/pkg/ezedits,https://mirrors.ctan.org/macros/latex/contrib/ezedits/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/ezedits,""
familytree,familytree – Draw family trees,"genealogy,tree,diagrams",Jiro Senju,https://www.ctan.org/pkg/familytree,https://mirrors.ctan.org/macros/latex/contrib/familytree/README.md,https://github.com/jiro1010/familytree,""
fancybox,fancybox – Variants of \fbox and other games with boxes,boxing,Timothy Van Zandt,https://www.ctan.org/pkg/fancybox,https://mirrors.ctan.org/macros/latex/contrib/fancybox/README,https://www.ctan.org/tex-archive/macros/latex/contrib/fancybox,""
fancyhdr,fancyhdr – Extensive control of page headers and footers in LaTeX2ε,page head and foot,Pieter van Oostrum,https://www.ctan.org/pkg/fancyhdr,https://mirrors.ctan.org/macros/latex/contrib/fancyhdr/README,https://github.com/pietvo/fancyhdr,""
fancylabel,fancylabel – Complex labelling with LaTeX,"chemistry,label and references",Dominik Siegel,https://www.ctan.org/pkg/fancylabel,https://mirrors.ctan.org/macros/latex/contrib/fancylabel/README,https://www.ctan.org/tex-archive/macros/latex/contrib/fancylabel,""
fancypar,fancypar – Decoration of individual paragraphs,decoration,Gonzalo Medina Arellano,https://www.ctan.org/pkg/fancypar,https://mirrors.ctan.org/macros/latex/contrib/fancypar/README,https://www.ctan.org/tex-archive/macros/latex/contrib/fancypar,""
fancyqr,fancyqr – Fancy QR-Codes with TikZ,"qr code,pgf tikz",Florian Sihler,https://www.ctan.org/pkg/fancyqr,https://mirrors.ctan.org/graphics/pgf/contrib/fancyqr/README.md,https://github.com/EagleoutIce/fancyqr,""
fancyvrb,fancyvrb – Sophisticated verbatim text,"macro demonstration,verbatim","Herbert Voß,Denis Girou (inactive),Niall Mansfield (inactive),Timothy Van Zandt (inactive),Sebastian Rahtz (deceased)",https://www.ctan.org/pkg/fancyvrb,https://mirrors.ctan.org/macros/latex/contrib/fancyvrb/README,https://www.ctan.org/tex-archive/macros/latex/contrib/fancyvrb,""
fast-diagram,fast-diagram – Easy generation of FAST diagrams,"pgf tikz,diagrams",Raphaël Allais,https://www.ctan.org/pkg/fast-diagram,https://mirrors.ctan.org/graphics/pgf/contrib/fast-diagram/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/fast-diagram,""
fbox,fbox – Extended \fbox macro from standard LaTeX,boxing,Herbert Voß,https://www.ctan.org/pkg/fbox,https://mirrors.ctan.org/macros/latex/contrib/fbox/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/fbox,""
fcolumn,fcolumn – Typesetting financial tables,table,Edgar Olthof,https://www.ctan.org/pkg/fcolumn,https://mirrors.ctan.org/macros/latex/contrib/fcolumn/README,https://www.ctan.org/tex-archive/macros/latex/contrib/fcolumn,""
featpost,featpost – METAPOST macros for 3D,3d graphics,Luís Nobre Gonçalves,https://www.ctan.org/pkg/featpost,https://mirrors.ctan.org/graphics/metapost/contrib/macros/featpost/README,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/featpost,""
ffcode,ffcode – Fixed-font code blocks formatted nicely,"line nos,listing,verbatim",Yegor Bugayenko,https://www.ctan.org/pkg/ffcode,https://mirrors.ctan.org/macros/latex/contrib/ffcode/README.md,https://github.com/yegor256/ffcode,""
fgruler,fgruler – Draw rulers on the foreground or in the text,misc support,Tibor Tómács,https://www.ctan.org/pkg/fgruler,https://mirrors.ctan.org/macros/latex/contrib/fgruler/README,https://www.ctan.org/tex-archive/macros/latex/contrib/fgruler,""
figchild,figchild – Pictures for creating children’s activities,"teaching,pgf tikz,amusements,graphics",Fernando de Souza Bastos,https://www.ctan.org/pkg/figchild,https://mirrors.ctan.org/graphics/pgf/contrib/figchild/README.md,https://github.com/fsbmat-ufv/figchild,""
fillpages,fillpages – Fill up the page count to a certain number (e.g. divisible by 4),blank page,Gabriel Ruprecht,https://ctan.org/pkg/fillpages,https://mirrors.ctan.org/macros/latex/contrib/fillpages/README.md,https://bitbucket.org/maestro-glanz/fillpages,""
fillwith,fillwith – Fill vertical space with solid rules or dotted lines,"exercise,leaders,teaching",Clea F. Rees,https://www.ctan.org/pkg/fillwith,https://mirrors.ctan.org/macros/latex/contrib/fillwith/README.md,https://codeberg.org/cfr/fillwith,""
fira,fira – Fira fonts with LaTeX support,"font,font t1enc,proportional font,font type1,monospaced font,body font,otf font,sans font,font support",Bob Tennent,https://www.ctan.org/pkg/fira,https://mirrors.ctan.org/fonts/fira/README,https://github.com/buildingfirefoxos/Building-Blocks/tree/gh-pages/fonts/FiraSans,""
fistrum,fistrum – Access to 150 paragraphs of Lorem Fistrum very dummy text,"macro support,spanish,dummy generator",David Davó,https://www.ctan.org/pkg/fistrum,https://mirrors.ctan.org/macros/latex/contrib/fistrum/README.md,https://github.com/daviddavo/fistrum,""
fitbox,fitbox – Fit graphics on a page,boxing,Boris Veytsman,https://www.ctan.org/pkg/fitbox,https://mirrors.ctan.org/macros/latex/contrib/fitbox/README,https://github.com/borisveytsman/fitbox/,""
fiziko,fiziko – A METAPOST library for physics textbook illustrations,"physics,graphics,graphics metapost",Sergey Slyusarev,https://www.ctan.org/pkg/fiziko,https://mirrors.ctan.org/graphics/metapost/contrib/macros/fiziko/README,https://github.com/jemmybutton/fiziko,""
flabels,flabels – Labels for files and folders,labels,Volker Börchers,https://www.ctan.org/pkg/flabels,https://mirrors.ctan.org/macros/latex/contrib/flabels/README,https://www.ctan.org/tex-archive/macros/latex/contrib/flabels,later
flacards,flacards – Generate flashcards for printing,"class,flash card",Norbert Stuhrmann,https://www.ctan.org/pkg/flacards,https://mirrors.ctan.org/macros/latex/contrib/flacards/README,https://www.ctan.org/tex-archive/macros/latex/contrib/flacards,""
flagderiv,flagderiv – Flag style derivation package,maths,Paul van Tilburg,https://www.ctan.org/pkg/flagderiv,https://mirrors.ctan.org/macros/latex/contrib/flagderiv/README,https://www.ctan.org/tex-archive/macros/latex/contrib/flagderiv,""
flashcards,flashcards – A class for typesetting flashcards,flash card,"Matthew Vernon,Alexander M. Budge (inactive)",https://www.ctan.org/pkg/flashcards,https://mirrors.ctan.org/macros/latex/contrib/flashcards/README,https://www.ctan.org/tex-archive/macros/latex/contrib/flashcards,""
flexipage,flexipage – Flexible page geometry with marginalia,marginal,Anton Vrba,https://www.ctan.org/pkg/flexipage,https://mirrors.ctan.org/macros/latex/contrib/flexipage/README.txt,https://github.com/anton-vrba/flexipage,""
flipbook,"flipbook – Typeset flipbook animations, in the corners of documents","graphics motion,graphics use",Olivier Buffet,https://www.ctan.org/pkg/flipbook,https://mirrors.ctan.org/macros/latex/contrib/flipbook/README,https://www.ctan.org/tex-archive/macros/latex/contrib/flipbook,""
flowchart,"flowchart – Shapes for drawing flowcharts, using TikZ","flow diagrams,pgf tikz",Adrian P. Robson,https://www.ctan.org/pkg/flowchart,https://mirrors.ctan.org/graphics/pgf/contrib/flowchart/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/flowchart,""
fnpct,fnpct – Manage footnote marks’ interaction with punctuation,footnote,Clemens Niederberger,https://www.ctan.org/pkg/fnpct,https://mirrors.ctan.org/macros/latex/contrib/fnpct/README,https://github.com/cgnieder/fnpct/,""
foliono,foliono – Use folio numbers to replace page numbers,"page nos,numbers",Tommi Syrjänen,https://www.ctan.org/pkg/foliono,https://mirrors.ctan.org/macros/latex/contrib/foliono/README,https://www.ctan.org/tex-archive/macros/latex/contrib/foliono,""
fontawesome,fontawesome – Font containing web-related icons,"font supp symbol,font symbol,font,font type1,otf font","Xavier Danaux,Dave Gandy",https://www.ctan.org/pkg/fontawesome,https://mirrors.ctan.org/fonts/fontawesome/README,https://github.com/xdanaux/fontawesome-latex,later
fontbook,fontbook – Generate a font book,font development,Raphaël Pinson,https://www.ctan.org/pkg/fontbook,https://mirrors.ctan.org/macros/xetex/latex/fontbook/README,https://www.ctan.org/tex-archive/macros/xetex/latex/fontbook,""
fontinstallationguide,fontinstallationguide – Font installation guide,font documentation,Philipp Lehman (inactive),https://www.ctan.org/pkg/fontinstallationguide,https://mirrors.ctan.org/info/Type1fonts/fontinstallationguide/README,https://www.ctan.org/tex-archive/info/Type1fonts/fontinstallationguide,""
fontsize,fontsize – A small package to set arbitrary sizes for the main font of the document,font supp misc,Ivan Valbusa,https://www.ctan.org/pkg/fontsize,https://mirrors.ctan.org/macros/latex/contrib/fontsize/README,https://www.ctan.org/tex-archive/macros/latex/contrib/fontsize,later
fontwrap,fontwrap – Bind fonts to specific unicode blocks,"Font sel,Font support,Unicode",Mike Kamermans,https://www.ctan.org/pkg/fontwrap,https://mirrors.ctan.org/macros/xetex/latex/fontwrap/README,https://www.ctan.org/tex-archive/macros/xetex/latex/fontwrap,""
footnoterange,footnoterange – References to ranges of footnotes,"footnote,label and references",Hans-Martin Münch,https://www.ctan.org/pkg/footnoterange,https://mirrors.ctan.org/macros/latex/contrib/footnoterange/README,https://www.ctan.org/tex-archive/macros/latex/contrib/footnoterange,""
forest,forest – Drawing (linguistic) trees,"tree,pgf tikz,linguistic",Sašo Živanović,https://www.ctan.org/pkg/forest,https://mirrors.ctan.org/graphics/pgf/contrib/forest/README,https://github.com/sasozivanovic/forest,""
formlett,formlett – Letters to multiple recipients,letter,Zhuhan Jiang,https://www.ctan.org/pkg/formlett,\,https://www.ctan.org/tex-archive/macros/generic/formlett,""
formular,formular – Create forms containing field for manual entry,form fillin,Hans-Christoph Wirth,https://www.ctan.org/pkg/formular,https://mirrors.ctan.org/macros/latex/contrib/formular/README,https://www.ctan.org/tex-archive/macros/latex/contrib/formular,""
forum,forum – Forum fonts with LaTeX support,"font serif,font t1enc,font type1,otf font,proportional font,body font,multilingual font,font support,font,cyrillic font",Bob Tennent,https://www.ctan.org/pkg/forum,https://mirrors.ctan.org/fonts/forum/README,https://www.ctan.org/tex-archive/fonts/forum,""
frame,frame – Framed boxes for Plain TeX,"boxing,decoration","Herbert Voß,Timothy Van Zandt (inactive)",https://www.ctan.org/pkg/frame,https://mirrors.ctan.org/macros/generic/frame/README,https://www.ctan.org/tex-archive/macros/generic/frame,""
froufrou,froufrou – Fancy section separators,decoration,Nelson Lago,https://www.ctan.org/pkg/froufrou,https://mirrors.ctan.org/macros/latex/contrib/froufrou/README.md,https://gitlab.com/lago/froufrou,""
fullminipage,fullminipage – Minipage spanning a complete page,layout,Christian Schneider,https://www.ctan.org/pkg/fullminipage,https://mirrors.ctan.org/macros/latex/contrib/fullminipage/README,https://www.ctan.org/tex-archive/macros/latex/contrib/fullminipage,later
functional,functional – An intuitive functional programming interface for LaTeX2,"latex3,macro support",Jianrui Lyu,https://www.ctan.org/pkg/functional,https://mirrors.ctan.org/macros/latex/contrib/functional/README.txt,https://github.com/lvjr/functional,""
fundus-pvscript,fundus-pvscript – Support for Vanroose handwriting font,font support,Gerd Neugebauer,https://www.ctan.org/pkg/fundus-pvscript,\,https://www.ctan.org/tex-archive/macros/latex/contrib/fundus/pvscript,""
gamebook,gamebook – Typeset gamebooks and other interactive novels,games,André Miede,https://www.ctan.org/pkg/gamebook,https://mirrors.ctan.org/macros/latex/contrib/gamebook/README,https://www.ctan.org/tex-archive/macros/latex/contrib/gamebook,later
gapfill,gapfill – Generate LaTeX picture environments from PostScript output of drawing programs,graphics prep,Herbert Möller,https://www.ctan.org/pkg/gapfill,https://mirrors.ctan.org/graphics/gapfill/README,https://www.ctan.org/tex-archive/graphics/gapfill,""
garamond-libre,garamond-libre – The Garamond Libre font face,"proportional font,font t1enc,cyrillic font,font serif,body font,otf font,multilingual font,font support,greek font,font,font type1","Daniel Benjamin Miller,Bob Tennent",https://www.ctan.org/pkg/garamond-libre,https://mirrors.ctan.org/fonts/garamond-libre/README,https://github.com/dbenjaminmiller/garamond-libre,""
gates,gates – Support for writing modular and customisable code,macro support,"Yuri Robbers,Paul Isambert (inactive)",https://www.ctan.org/pkg/gates,https://mirrors.ctan.org/macros/generic/gates/README,https://www.ctan.org/tex-archive/macros/generic/gates,""
gauss,gauss – A package for Gaussian operations,maths,Manuel Kauers,https://www.ctan.org/pkg/gauss,https://mirrors.ctan.org/macros/latex/contrib/gauss/README,https://www.ctan.org/tex-archive/macros/latex/contrib/gauss,""
gchords,gchords – Typeset guitar chords,"german,biblatex","Matthew Tylee Atkinson,Iain Phillips",https://www.ctan.org/pkg/gchords,https://mirrors.ctan.org/graphics/gchords/README,https://github.com/kpeeters/gchords,""
gckanbun,gckanbun – Kanbun typesetting for (u)pLaTeX and LuaLaTeX,"chinese,japanese",Munehiro Yamamoto,https://www.ctan.org/pkg/gckanbun,https://mirrors.ctan.org/language/japanese/gckanbun/README.md,https://github.com/munepi/gckanbun,""
gelasio,gelasio – LaTeX support for the Gelasio family of fonts,"font serif,proportional font,font type1,font,body font,otf font",Bob Tennent,https://www.ctan.org/pkg/gelasio,https://mirrors.ctan.org/fonts/gelasio/README,https://github.com/SorkinType/Gelasio,""
genealogytree,genealogytree – Pedigree and genealogical tree diagrams,"pgf tikz,genealogy,humanities",Thomas F. Sturm,https://www.ctan.org/pkg/genealogytree,https://mirrors.ctan.org/macros/latex/contrib/genealogytree/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/genealogytree,""
gentium-tug,gentium-tug – Gentium fonts (in two formats) and support files,"multilingual font,font t1enc,greek font,font support,body font,cyrillic font,font type1,font,font serif,proportional font,font ttf","Karl Berry,Pavel Farar,Mojca Miklavec (inactive),Thomas A. Schmitz (inactive)",https://www.ctan.org/pkg/gentium-tug,https://mirrors.ctan.org/fonts/gentium-tug/README,https://www.ctan.org/tex-archive/fonts/gentium-tug,""
geometry,geometry – Flexible and complete interface to document dimensions,geometry,"David Carlisle,Hideo Umeki",https://www.ctan.org/pkg/geometry,https://mirrors.ctan.org/macros/latex/contrib/geometry/README.md,https://github.com/LaTeX-Package-Repositories/geometry,later
getfiledate,getfiledate – Find the date of last modification of a file,file management,Ahmed Musa,https://www.ctan.org/pkg/getfiledate,https://mirrors.ctan.org/macros/latex/contrib/getfiledate/README,https://www.ctan.org/tex-archive/macros/latex/contrib/getfiledate,""
getmap,getmap – Download OpenStreetMap maps for use in documents,cartography,Josef Kleber,https://www.ctan.org/pkg/getmap,https://mirrors.ctan.org/macros/latex/contrib/getmap/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/getmap,""
gfnotation,gfnotation – Typeset Gottlob Frege's notation in plain TeX,"maths,logic",Udo Wermuth,https://www.ctan.org/pkg/gfnotation,https://mirrors.ctan.org/macros/plain/contrib/gfnotation/README,https://www.ctan.org/tex-archive/macros/plain/contrib/gfnotation,""
ghsystem,ghsystem – Globally harmonised system of chemical (etc) naming,"experimental latex3,chemistry",Clemens Niederberger,https://www.ctan.org/pkg/ghsystem,https://mirrors.ctan.org/macros/latex/contrib/ghsystem/README,https://www.ctan.org/tex-archive/macros/latex/contrib/ghsystem,""
gillius,gillius – Gillius fonts with LaTeX support,"font type1,proportional font,font,sans font,otf font,body font,font t1enc,font support",Bob Tennent,https://www.ctan.org/pkg/gillius,https://mirrors.ctan.org/fonts/gillius/README,https://www.ctan.org/tex-archive/fonts/gillius,""
gitinfo-lua,gitinfo-lua – Display git project information in your LaTeX projects,"version control,luatex,document management",Erik Nijenhuis,https://www.ctan.org/pkg/gitinfo-lua,https://mirrors.ctan.org/macros/luatex/latex/gitinfo-lua/README.md,https://github.com/Xerdi/gitinfo-lua,later
gitinfo2,gitinfo2 – Access metadata from the git distributed version control system,"document management,version control","The LaTeX Project Team,Brent Longborough (deceased)",https://www.ctan.org/pkg/gitinfo2,https://mirrors.ctan.org/macros/latex/contrib/gitinfo2/README,https://www.ctan.org/tex-archive/macros/latex/contrib/gitinfo2,""
gitlog,gitlog – Typesetting git changelogs,"document management,version control","The LaTeX Project Team,Brent Longborough (deceased)",https://www.ctan.org/pkg/gitlog,https://mirrors.ctan.org/macros/latex/contrib/gitlog/README.md,https://github.com/Hightor/gitlog,later
gitstatus,gitstatus – Include Git information in the document as watermark or via variables,"watermark,decoration",Maximilian Gruber,https://www.ctan.org/pkg/gitstatus,https://mirrors.ctan.org/macros/latex/contrib/gitstatus/README.md,https://github.com/mgrub/gitstatus,""
gitver,gitver – Get the current git hash of a project and typeset it in the document,"document management,version control",Charles Baynham,https://www.ctan.org/pkg/gitver,https://mirrors.ctan.org/macros/latex/contrib/gitver/README.md,https://github.com/charlesbaynham/gitver,""
glossaries,glossaries – Create glossaries and lists of acronyms,"acronym,glossary",Nicola Talbot,https://www.ctan.org/pkg/glossaries,https://mirrors.ctan.org/macros/latex/contrib/glossaries/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/glossaries,later
gofonts,gofonts – GoSans and GoMono fonts with LaTeX support,"font type1,multilingual font,monospaced font,font ttf,font,body font,font t1enc,font support,font serif,greek font,proportional font,sans font,cyrillic font",Bob Tennent,https://www.ctan.org/pkg/gofonts,https://mirrors.ctan.org/fonts/gofonts/README,https://www.ctan.org/tex-archive/fonts/gofonts,""
gradient-text,gradient-text – Decorate text with linear gradient colors,colour,Sicheng Du,https://www.ctan.org/pkg/gradient-text,https://mirrors.ctan.org/macros/latex/contrib/gradient-text/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/gradient-text,""
gradientframe,gradientframe – Simple gradient frames around objects,decoration,Christian Raue,https://www.ctan.org/pkg/gradientframe,https://mirrors.ctan.org/macros/latex/contrib/gradientframe/README,https://www.ctan.org/tex-archive/macros/latex/contrib/gradientframe,""
grading-scheme,grading-scheme – Typeset grading schemes in tabular format,table,Maximilian Keßler,https://www.ctan.org/pkg/grading-scheme,https://mirrors.ctan.org/macros/latex/contrib/grading-scheme/README.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/grading-scheme,""
grafcet,grafcet – Draw Grafcet/SFC with TikZ,"diagrams,pgf tikz",Robert Papanicola,https://www.ctan.org/pkg/grafcet,https://mirrors.ctan.org/graphics/pgf/contrib/grafcet/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/grafcet,""
graph35,graph35 – Draw keys and screen items of several Casio calculators,"graphics,teaching,maths",Louis Paternault,https://www.ctan.org/pkg/graph35,https://mirrors.ctan.org/graphics/graph35/README.md,https://www.ctan.org/tex-archive/graphics/graph35,""
graphbox,graphbox – Extend graphicx to improve placement of graphics,"graphics include,graphics",Niklas Beisert,https://www.ctan.org/pkg/graphbox,https://mirrors.ctan.org/macros/latex/contrib/graphbox/README.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/graphbox,""
grapher,"grapher – Create graphs, state machine and data flow diagrams",graphics engine,Manuel Gutierrez Algaba,https://www.ctan.org/pkg/grapher,\,https://www.ctan.org/tex-archive/support/grapher,""
graphicxpsd,graphicxpsd – Adobe Photoshop Data format (PSD) support for graphicx package,graphics include,Munehiro Yamamoto,https://www.ctan.org/pkg/graphicxpsd,https://mirrors.ctan.org/macros/latex/contrib/graphicxpsd/README.md,https://github.com/munepi/graphicxpsd,later
grayhints,grayhints – Produce ‘gray hints’ to a variable text field,"adobe distiller,pdf forms,misc support",Donald P. Story (deceased),https://www.ctan.org/pkg/grayhints,https://mirrors.ctan.org/macros/latex/contrib/grayhints/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/grayhints,""
gregoriotex,gregoriotex – Engraving Gregorian Chant scores,"chords,music","Élie Roux,Henry So,Fr. Samuel Springuel",https://gregorio-project.github.io/index.html,https://mirrors.ctan.org/support/gregoriotex/README.md,https://www.ctan.org/tex-archive/support/gregoriotex,""
grid,grid – Grid typesetting in LaTeX,typeset grid,River Valley Technologies,https://www.ctan.org/pkg/grid,https://mirrors.ctan.org/macros/latex/contrib/grid/README,https://www.ctan.org/tex-archive/macros/latex/contrib/grid,""
grid-system,"grid-system – Page organisation, modelled on CSS facilities",layout,Marcus Bitzl,https://www.ctan.org/pkg/grid-system,https://mirrors.ctan.org/macros/latex/contrib/grid-system/README,https://github.com/bitzl/latex-grid-system,""
gridpapers,gridpapers – Graph paper backgrounds and color schemes,"background,pgf tikz","Robert McNees,Leo Stein",https://www.ctan.org/pkg/gridpapers,https://mirrors.ctan.org/macros/latex/contrib/gridpapers/README.md,https://github.com/mcnees/LaTeX-Graph-Paper,""
gtrcrd,gtrcrd – Add chords to lyrics,"music,chords",Riccardo Bresciani,https://www.ctan.org/pkg/gtrcrd,https://mirrors.ctan.org/macros/latex/contrib/gtrcrd/README,https://www.ctan.org/tex-archive/macros/latex/contrib/gtrcrd,""
gtrlib.largetrees,gtrlib.largetrees – Library for genealogytree aiming at large trees,genealogy,Richard Grewe,https://www.ctan.org/pkg/gtrlib-largetrees,https://mirrors.ctan.org/macros/latex/contrib/gtrlib-largetrees/README.md,https://github.com/Ri-Ga/gtrlib.largetrees,""
gudea,gudea – The Gudea font face with support for LaTeX and pdfLaTeX,"font t1enc,font,font type1,font support,body font,sans font,proportional font",Carl-Clemens Ebinger,https://www.ctan.org/pkg/gudea,https://mirrors.ctan.org/fonts/gudea/README,https://github.com/ccebinger/CTAN_Gudea,""
guitarchordschemes,guitarchordschemes – Guitar Chord and Scale Tablatures,"music,chords",Clemens Niederberger,https://www.ctan.org/pkg/guitarchordschemes,https://mirrors.ctan.org/macros/latex/contrib/guitarchordschemes/README,https://github.com/cgnieder/guitarchordschemes,""
guitartabs,guitartabs – A class for drawing guitar tablatures easily,"chords,class,music",Andrey Babushkin,https://www.ctan.org/pkg/guitartabs,https://mirrors.ctan.org/macros/latex/contrib/guitartabs/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/guitartabs,""
hackthefootline,hackthefootline – Footline selection and configuration for LaTeX beamer’s standard themes,"page head and foot,presentation",Sebastian Friedl,https://www.ctan.org/pkg/hackthefootline,https://mirrors.ctan.org/macros/latex/contrib/beamer-contrib/hackthefootline/README.md,https://github.com/sfr682k/hackthefootline,later
handout,handout – Create handout for auditors of a talk,presentation,Maïeul Rouquette,https://www.ctan.org/pkg/handout,https://mirrors.ctan.org/macros/latex/contrib/handout/README,https://github.com/maieul/handout,""
handoutwithnotes,handoutWithNotes – Create Handouts with notes from your LaTeX beamer presentation,presentation,"Guido Diepen,Marei Peischl",https://www.ctan.org/pkg/handoutwithnotes,https://mirrors.ctan.org/macros/latex/contrib/handoutwithnotes/README.md,https://github.com/gdiepen/latexbeamer-handoutWithNotes,""
hanging,hanging – Hanging paragraphs,layout,"Will Robertson,Peter R. Wilson (inactive)",https://www.ctan.org/pkg/hanging,https://mirrors.ctan.org/macros/latex/contrib/hanging/README,https://www.ctan.org/tex-archive/macros/latex/contrib/hanging,""
hanzibox,hanzibox – Boxed Chinese characters with Pinyin above and translation below,"chinese,xetex",Nan Geng,https://ctan.org/pkg/hanzibox,https://mirrors.ctan.org/macros/xetex/latex/hanzibox/README.md,https://gitee.com/nwafu_nan/hanzibox-l3,""
hardwrap,hardwrap – Hard wrap text to a certain character length,layout,"Kevin Godby,Will Robertson",https://www.ctan.org/pkg/hardwrap,https://mirrors.ctan.org/macros/latex/contrib/hardwrap/README,https://www.ctan.org/tex-archive/macros/latex/contrib/hardwrap,""
harveyballs,harveyballs – Create Harvey Balls using TikZ,"graphics symbols,pgf tikz",Sascha Roth,https://www.ctan.org/pkg/harveyballs,https://mirrors.ctan.org/graphics/pgf/contrib/harveyballs/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/harveyballs,""
