package,title,topic,maintainer,url,readme,source,mark
minim,minim – A modern plain format for the LuaTeX engine,"luatex,format",Esger Renkema,https://www.ctan.org/pkg/minim,https://mirrors.ctan.org/macros/luatex/generic/minim/README,https://gitlab.com/renkema/minim,""
minim-hatching,minim-hatching – Create tiling patterns with the minim-mp METAPOST processor,"graphics subpic,luatex",Esger Renkema,https://www.ctan.org/pkg/minim-hatching,https://mirrors.ctan.org/graphics/minim-hatching/README,https://gitlab.com/renkema/minim,""
minitoc,"minitoc – Produce a table of contents for each chapter, part or section",toc etc,Jean-Pierre Drucbert (deceased),https://www.ctan.org/pkg/minitoc,https://mirrors.ctan.org/macros/latex/contrib/minitoc/README.md,https://github.com/LaTeX-Package-Repositories/minitoc,""
minted,minted – Highlighted source code for LaTeX,"listing,syntax highlight,verbatim","Geoffrey Poore,Konrad Rudolph (inactive)",https://www.ctan.org/pkg/minted,https://mirrors.ctan.org/macros/latex/contrib/minted/README,https://github.com/gpoore/minted,""
mintspirit,mintspirit – LaTeX support for MintSpirit font families,"sans font,body font,font t1enc,font,proportional font,font support,otf font,font type1",Bob Tennent,https://www.ctan.org/pkg/mintspirit,https://mirrors.ctan.org/fonts/mintspirit/README,https://www.ctan.org/tex-archive/fonts/mintspirit,""
minutes,minutes – Typeset the minutes of meetings,meeting admin,Knut Lickert,https://www.ctan.org/pkg/minutes,https://mirrors.ctan.org/macros/latex/contrib/minutes/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/minutes,""
missaali,missaali – A late medieval OpenType textura font,"medieval font,gothic font,otf font",Tommi Syrjänen,https://www.ctan.org/pkg/missaali,https://mirrors.ctan.org/fonts/missaali/README,https://www.ctan.org/tex-archive/fonts/missaali,""
mkpic,mkpic – Perl interface to mfpic,graphics,Wybo H. Dekker,https://www.ctan.org/pkg/mkpic,https://mirrors.ctan.org/support/mkpic/README,https://www.ctan.org/tex-archive/support/mkpic,""
mlist,mlist – Logical markup for lists,maths,Will Robertson,https://www.ctan.org/pkg/mlist,https://mirrors.ctan.org/macros/latex/contrib/mlist/README,https://www.ctan.org/tex-archive/macros/latex/contrib/mlist,""
modernposter,modernposter – A modern LaTeX poster theme,"poster,class",David Derler,https://www.ctan.org/pkg/modernposter,https://mirrors.ctan.org/macros/latex/contrib/modernposter/README.md,https://github.com/derlerd/modernposter,""
modiagram,modiagram – Drawing molecular orbital diagrams,"chemistry,diagrams",Clemens Niederberger,https://www.ctan.org/pkg/modiagram,https://mirrors.ctan.org/macros/latex/contrib/modiagram/README,https://bitbucket.org/cgnieder/modiagram/,""
mol2chemfig,mol2chemfig – Convert chemical structures from MDL molfile format to chemfig source code,"foreign import,chemistry",Michael Palmer,https://www.ctan.org/pkg/mol2chemfig,https://mirrors.ctan.org/graphics/mol2chemfig/README,https://www.ctan.org/tex-archive/graphics/mol2chemfig,""
montserrat,"montserrat – Montserrat sans serif, otf and pfb, with LaTeX support files","sans font,font t1enc,font,font type1,otf font",Michael Sharpe,https://www.ctan.org/pkg/montserrat,https://mirrors.ctan.org/fonts/montserrat/README,https://www.ctan.org/tex-archive/fonts/montserrat,""
moodle,moodle – Generating Moodle quizzes via LaTeX,exam,"Matthieu Guerquin-Kern,Anders O. F. Hendrickson (inactive)",https://www.ctan.org/pkg/moodle,https://mirrors.ctan.org/macros/latex/contrib/moodle/README.md,https://framagit.org/mattgk/moodle,""
moreenum,moreenum – More enumeration options,"list enumumerate,numbers",Seamus Bradley,https://www.ctan.org/pkg/moreenum,https://mirrors.ctan.org/macros/latex/contrib/moreenum/README,https://www.ctan.org/tex-archive/macros/latex/contrib/moreenum,""
movement-arrows,movement-arrows – Drawing movement arrows on linguistic example sentences,"pgf tikz,linguistic",Alan Munn,https://www.ctan.org/pkg/movement-arrows,https://mirrors.ctan.org/macros/latex/contrib/movement-arrows/README.md,https://github.com/amunn/movement-arrows,""
movie15,movie15 – Multimedia inclusion package,"multimedia,obsolete",Alexander Grahn,https://www.ctan.org/pkg/movie15,https://mirrors.ctan.org/macros/latex/contrib/movie15/README,https://www.ctan.org/tex-archive/macros/latex/contrib/movie15,""
mparrows,mparrows – METAPOST module with different types of arrow heads,metapost support,Palle Jørgensen,https://www.ctan.org/pkg/mparrows,https://mirrors.ctan.org/graphics/metapost/contrib/macros/mparrows/README,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/mparrows,""
mpattern,mpattern – Patterns in METAPOST,graphics use,Piotr Bolek,https://ctan.org/pkg/mpattern,https://mirrors.ctan.org/graphics/metapost/contrib/macros/mpattern/README,https://ctan.org/tex-archive/graphics/metapost/contrib/macros/mpattern,""
mpkiviat,mpkiviat – METAPOST package to draw Kiviat diagrams,"graphics plot,diagrams",Maxime Chupin,https://www.ctan.org/pkg/mpkiviat,https://mirrors.ctan.org/graphics/metapost/contrib/macros/mpkiviat/README.md,https://gitlab.gutenberg-asso.fr/mchupin/mpkiviat,""
mptrees,mptrees – Probability trees with METAPOST,"math diagrams,maths,probability,graphics metapost",Olivier Péault,https://www.ctan.org/pkg/mptrees,https://mirrors.ctan.org/graphics/metapost/contrib/macros/mptrees/README.md,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/mptrees,""
msc,msc – Draw MSC diagrams,"pgf tikz,comp net","Reynaldo Gil Pons,Victor Bos (inactive),Ton van Deursen (inactive),Sjouke Mauw (inactive)",https://www.ctan.org/pkg/msc,https://mirrors.ctan.org/macros/latex/contrib/msc/README.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/msc,""
multiaudience,multiaudience – Several versions of output from the same source,conditional compilation,Boris Veytsman,https://www.ctan.org/pkg/multiaudience,https://mirrors.ctan.org/macros/latex/contrib/multiaudience/README,https://www.ctan.org/tex-archive/macros/latex/contrib/multiaudience,""
multicolrule,multicolrule – Decorative rules between columns,"line weight,decoration,line pattern,rule",Karl Hagen,https://www.ctan.org/pkg/multicolrule,https://mirrors.ctan.org/macros/latex/contrib/multicolrule/README.md,https://github.com/polysyllabic/multicolrule,later
multifootnote,multifootnote – Multiple numbers for the same footnote,footnote,Jinwen XU,https://www.ctan.org/pkg/multifootnote,https://mirrors.ctan.org/macros/latex/contrib/multifootnote/README.md,https://github.com/Jinwen-XU/multifootnote,""
multilang,multilang – A LaTeX package for maintaining multiple translations of a document,multi-lingual,Richard Grewe,https://www.ctan.org/pkg/multilang,https://mirrors.ctan.org/macros/latex/contrib/multilang/README.md,https://github.com/Ri-Ga/multilang,""
multiple-choice,multiple-choice – LaTeX package for multiple-choice questions,exam,Seiied-Mohammad-Javad Razavian,https://www.ctan.org/pkg/multiple-choice,https://mirrors.ctan.org/macros/latex/contrib/multiple-choice/README,https://github.com/javadr/multiple-choice.sty,""
multirow,multirow – Create tabular cells spanning multiple rows,table,"Pieter van Oostrum,Jerry Leichter (inactive)",https://www.ctan.org/pkg/multirow,https://mirrors.ctan.org/macros/latex/contrib/multirow/README,https://github.com/pietvo/multirow,""
multitoc,multitoc – Set table of contents in multiple columns,toc etc,"Marei Peischl,Martin Schröder (inactive)",https://www.ctan.org/pkg/multitoc,https://mirrors.ctan.org/macros/latex/contrib/multitoc/README.md,https://gitlab.com/TeXhackse/multitoc/,""
musical,musical – Typeset (musical) theatre scripts,"drama script,music",Dave Howell,https://www.ctan.org/pkg/musical,https://mirrors.ctan.org/macros/latex/contrib/musical/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/musical,""
musicography,musicography – Accessing symbols for music writing with pdfLaTeX,"music,font supp symbol",Andrew A. Cashner,https://www.ctan.org/pkg/musicography,https://mirrors.ctan.org/macros/latex/contrib/musicography/README.md,https://github.com/andrewacashner/musicography,""
musictex,musictex – Typesetting music with TeX,"obsolete,music",Daniel Taupin (deceased),https://www.ctan.org/pkg/musictex,https://mirrors.ctan.org/obsolete/macros/musictex/README,https://www.ctan.org/tex-archive/obsolete/macros/musictex,""
musikui,musikui – Easy creation of “arithmetical restoration” puzzles,"puzzle,maths",Naoki Kaneko,https://www.ctan.org/pkg/musikui,https://mirrors.ctan.org/macros/latex/contrib/musikui/README.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/musikui,""
musixguit,"musixguit – Easy notation for guitar music, in MusixTeX",music,Clemens Niederberger,https://www.ctan.org/pkg/musixguit,https://mirrors.ctan.org/macros/latex/contrib/musixguit/README,https://www.ctan.org/tex-archive/macros/latex/contrib/musixguit,""
